编号,一级标题,二级标题,三级标题,四级标题,链接标题,HTTP方法,URI,HTTP代码,载荷,附件
73,学院管理,学院列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=college&act=List&totalnum=3036&pagenum=3,200,NULL,NULL
74,学院管理,学院列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=college&act=List&totalnum=3036&pagenum=4,200,NULL,NULL
75,学院管理,学院列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=college&act=List&totalnum=3036&pagenum=5,200,NULL,NULL
76,学院管理,学院列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=college&act=List&totalnum=3036&pagenum=6,200,NULL,NULL
77,学院管理,学院列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=college&act=List&totalnum=3036&pagenum=7,200,NULL,NULL
78,学院管理,学院列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=college&act=List&totalnum=3036&pagenum=8,200,NULL,NULL
79,学院管理,学院列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=college&act=List&totalnum=3036&pagenum=9,200,NULL,NULL
80,专业管理,专业名称列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=specialyName&act=List&totalnum=867&pagenum=1,200,NULL,NULL
81,专业管理,专业名称列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=specialyName&act=List&totalnum=867&pagenum=2,200,NULL,NULL
82,专业管理,专业名称列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=specialyName&act=List&totalnum=867&pagenum=3,200,NULL,NULL
83,专业管理,专业名称列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=specialyName&act=List&totalnum=867&pagenum=4,200,NULL,NULL
84,专业管理,专业名称列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=specialyName&act=List&totalnum=867&pagenum=5,200,NULL,NULL
85,专业管理,专业名称列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=specialyName&act=List&totalnum=867&pagenum=6,200,NULL,NULL
86,专业管理,专业名称列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=specialyName&act=List&totalnum=867&pagenum=7,200,NULL,NULL
87,专业管理,专业名称列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=specialyName&act=List&totalnum=867&pagenum=8,200,NULL,NULL
